# generated: 2026-08-25T17:04:04+00:00
# host: seffrin-server  python: 3.13.12  pandas: 3.0.2
# source: ironman_merged.csv  bytes: 516161658  mtime: 2026-03-28T11:07:15+00:00
# deterministic: no sampling, no randomness, no seed required
field,actual_pct,submitted_pct,delta,status
name,99.99645353652599,99.5,0.49645353652599056,MISMATCH
bib,99.99988917301643,95.2,4.799889173016425,MISMATCH
country,99.60183559038643,97.8,1.8018355903864318,MISMATCH
country_iso2,74.16316391828062,75.4,-1.2368360817193889,MISMATCH
age_group,99.61657557920029,99.5,0.11657557920028694,MISMATCH
event_name,99.6179424453309,100.0,-0.3820575546691032,MISMATCH
event_id,99.6179424453309,100.0,-0.3820575546691032,MISMATCH
swim_sec,85.87029844228981,82.8,3.070298442289811,MISMATCH
t1_sec,84.18679961964179,84.2,-0.013200380358213692,ok
bike_sec,85.93890034511523,83.7,2.2389003451152263,MISMATCH
t2_sec,84.08805277728727,84.1,-0.011947222712720418,ok
run_sec,82.90855813355537,83.0,-0.09144186644462593,MISMATCH
overall_sec,82.97017793641635,83.9,-0.9298220635836572,MISMATCH
finish_status,99.6179424453309,99.6,0.0179424453309025,ok
rank_overall,95.56570156066559,76.4,19.165701560665582,MISMATCH
rank_gender,95.43293083435725,76.3,19.132930834357254,MISMATCH
rank_group,95.55358447712938,76.3,19.25358447712938,MISMATCH
swim_rank,96.62047890556137,75.0,21.62047890556137,MISMATCH
bike_rank,96.30484365637429,74.8,21.50484365637429,MISMATCH
run_rank,95.39362419752028,75.0,20.393624197520282,MISMATCH
awa_points,54.60268156969429,54.6,0.00268156969428901,ok
swim_distance_km,63.21504646236574,56.8,6.415046462365744,MISMATCH
bike_distance_km,64.20565498377863,56.8,7.405654983778632,MISMATCH
run_distance_km,63.16026099015782,56.8,6.360260990157826,MISMATCH
total_distance_km,56.8084710235463,56.8,0.008471023546306355,ok
race_type,100.0,100.0,0.0,ok
race_year,100.0,100.0,0.0,ok
source,100.0,100.0,0.0,ok
